64 2.12511 1.81351
64 2.1283 1.95195
64 2.12991 1.8049
64 2.1357 2.08604
64 2.13687 1.66995
96 3.19805 3.11873
128 4.27072 4.09616
192 6.51944 6.50604
256 8.58223 8.63944
384 12.0506 11.4539
512 16.9324 15.7729
768 22.5207 20.9625
1024 32.087 30.2109
1536 43.6237 38.7441
2048 60.3305 58.463
3072 85.6739 82.2956
4096 107.911 106.879
6144 166.799 143.626
8192 212.654 199.778
12288 303.085 295.414
16384 215.008 204.917
24576 285.016 279.965
32768 348.827 336.709
49152 522.265 465.068
65536 586.246 520.678
98304 759.023 705.206
131072 1082.24 947.363
196608 1351.33 1276.27
262144 1103.86 1086.11
393216 965.917 832.37
524288 932.193 775.335
